Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
968,The Incredibles,Action,E,GBA,THQ,Helixe,5.4,,,2.06,1.15,0.77,0.04,0.1,2004
969,Call of Duty 2,Shooter,T,X360,Activision,Infinity Ward,8.8,9.1,,2.06,1.84,0.04,0.01,0.16,2005
970,Hitman: Absolution,Action,M,PS3,Square Enix,IO Interactive,,,,2.06,0.59,1.08,0.07,0.32,2012
971,Toy Story 3: The Video Game,Action,E,DS,Disney Interactive Studios,Avalanche Software,,,,2.06,0.89,0.95,0.02,0.21,2010
972,R4: Ridge Racer Type 4,Racing,E,PS,Namco,Namco,9.1,,,2.06,0.68,0.46,0.79,0.13,1999
973,Tom Clancy's Splinter Cell: Conviction,Action,M,X360,Ubisoft,Ubisoft Montreal,8.6,,,2.06,1.2,0.62,0.04,0.19,2010
974,Need for Speed: Undercover,Racing,T,PS3,Electronic Arts,EA Vancouver,5.9,,,2.06,0.63,1.01,0.05,0.38,2008
975,Need for Speed: ProStreet,Racing,E10,X360,Electronic Arts,EA Black Box,7.1,,,2.05,1.04,0.79,0.01,0.21,2007
976,The Elder Scrolls Online: Tamriel Unlimited,MMO,M,PS4,Bethesda Softworks,ZeniMax Online Studios,,,,2.05,0.74,0.98,,0.33,2015
977,Mortal Kombat vs DC Universe,Fighting,T,PS3,Midway Games,Midway Amusement Games,7.6,,,2.05,1.52,0.29,,0.25,2008
978,NBA Jam,Sports,,GEN,Arena Entertainment,Iguana Entertainment,,,,2.05,1.75,0.25,,0.05,1993
979,Famista '89 - Kaimaku Han!!,Sports,,NES,Namco,Namco,,,,2.05,,,2.05,,1989
980,Dark Souls,Role-Playing,M,PS3,Namco Bandai,From Software,9,,,2.05,0.75,0.53,0.54,0.22,2011
981,Middle-Earth: Shadow of War,Action,M,PS4,Warner Bros. Interactive Entertainment,Monolith Productions,,,,2.04,0.82,0.84,0.06,0.33,2017
982,SOCOM: U.S. Navy SEALs: Combined Assault,Shooter,T,PS2,Sony Computer Entertainment,Zipper Interactive,,,,2.04,1.74,0.02,,0.28,2006
